Vivado Simulator 2018.2
Time resolution is 1 ps
=== Starting testbench ===
t=0 state=10100 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=000000 flat_y=000000, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2685000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=000000 flat_y=000000, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2705000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=000001 flat_y=000001, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2725000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=000003 flat_y=000003, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2745000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=000007 flat_y=000007, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2765000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=00000f flat_y=00000f, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2785000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=00001f flat_y=00001f, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2805000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=00003f flat_y=00003f, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2825000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=00007f flat_y=00007f, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2845000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=0000ff flat_y=0000ff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2865000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=0001ff flat_y=0001ff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2885000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=0003ff flat_y=0003ff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2905000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=0007ff flat_y=0007ff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2925000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=000fff flat_y=000fff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2945000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=001fff flat_y=001fff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2965000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=003fff flat_y=003fff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=2985000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=007fff flat_y=007fff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=3005000 state=10101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=00ffff flat_y=00ffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
